Movie,Year,Domestic Box Office,Domestic Box Office
,,(nominal),(adjusted)
Jaws,1975,260,1098.9
The Exorcist,1973,193,885.5
The Sixth Sense,1999,293.5,494
Young Frankenstein,1974,86.3,$391.7 M
Gremlins,1984,148.2,$378.4 M
Psycho,1960,32,$366.1 M
Signs,2002,228,$336.6 M
It,2017,330,$330 M (proj.)
I Am Legend,2007,256.4,$315.1 M
The Mummy Returns,2001,202,$306.2 M
The Amityville Horror,1979,86.4,$295.5 M
Jaws 2,1978,77.7,$285 M
Alien,1979,78.9,$269.9 M
The Silence of the Lambs,1991,130.7,$266.5 M
The Mummy,1999,155.4,$262.4 M
Hannibal,2001,165.1,$250.3 M
Scary Movie,2000,157,$249.9 M
What Lies Beneath,2000,155.5,$247.5 M
The Omen,1976,60.9,$245.4 M
The Blair Witch Project,1999,140.5,$237.4 M
Poltergeist,1982,76.6,$223.6 M
Interview With the Vampire:,1994,105.3,$215.6 M
The Vampire Chronicles,,,
World War Z,2013,202.4,$214.8 M
King Kong,1976,52.6,$211.9 M
Aliens,1986,85.2,$196.9 M
Scream,1996,103,$193.5 M
The Ring,2002,129.1,$190.5 M
Scream 2,1997,101.3,$187.9 M
Get Out,2017,175.5,$175.5 M
Halloween,1978,47,$172.3 M
Bram Stoker's Dracula,1992,82.5,$170.6 M
Sleepy Hollow,1999,101.1,$169.8 M
Van Helsing,2004,120.2,$166 M
Scary Movie 3,2003,110,$156.5 M
The Conjuring,2013,137.4,$156.5 M
The Haunting,1999,91.4,$154.4 M
The Grudge,2004,110.4,$152.5 M
The Others,2001,96.5,$152.3 M
Scream 3,2000,89.1,$147.7 M
The Shining,1980,44,$146.1 M
